*_id,title,authorname,rating,voters_count,gender,hometown,books_num,works_count,publisher
101,"The Young Elites (The Young Elites, #1)",Marie Lu,3.9,98703,female,Wuxi,10,42,G.P. Putnam’s Sons Books for Young Readers
102,Dusting Angels,J.D.      Smith,5,1,,,1,1,Kal-Ba Publishing
103,The Butcher's Boy,Michael Robb Mathias,3.75,316,male,,6,6,
104,"Beautiful Redemption (Caster Chronicles, #4)",Kami Garcia,3.93,62423,female,Washington DC,10,62,"Little, Brown Books for Young Readers"
105,"Tond, Book One: The Sons of Tlaen Ras-Erkéltis",Steven Scribner,4.5,2,,,1,1,Smashwords Edition
106,"True Courage (Uncommon Heroes, #4)",Dee Henderson,4.28,6174,,,10,42,Tyndale House Publishers
107,If I Live,Terri Blackstock,4.36,5700,female,"Belleville, Illinois",10,86,Thorndike Press Large Print
108,"The Fading Dusk (Smoke and Mirrors, #1)",Melissa Giorgio,3.6,87,female,,10,15,
109,"The Case for Jamie (Charlotte Holmes, #3)",Brittany Cavallaro,4.02,7368,female,,10,18,Katherine Tegen Books
110,A Girl and her Elephant (Animal Companions #1),Zoey Gong,4.79,19,female,,5,5,Red Empress Publishing
111,Friends 2 Lovers: The Unthinkable (Volume 1),Jonathan Anthony Burkett,3.69,36,male,"Miami, FL",5,5,Jonathan Anthony Burkett Publications
112,"Paper Girls, Vol. 2",Brian K. Vaughan,4.15,19456,,"Cleveland, Ohio",10,581,Image Comics
113,"Time Out (Foolish Games, #2)",Leah Spiegel,3.84,999,female,,10,12,
114,"The Merchant of Death (Pendragon, #1)",D.J. MacHale,3.95,46002,,"Greenwick, CT",10,61,Aladdin Paperbacks
115,The Friday Society,Adrienne Kress,3.49,2988,female,Toronto,10,17,Dial
116,When She Woke,Hillary Jordan,3.67,25293,female,"Dallas, TX",6,6,Algonquin Books
117,Infallible,Bailey Quinn,4.39,77,female,johannesburg,5,5,Fire Quill Publishing
118,"Monster Collector: Monsters, Mutants, Freaks and Superheroes",Shay Lawless,5,4,,,10,13,
119,"False Start (Eastshore Tigers, #2)",Alison Hendricks,3.76,1395,female,,10,24,
120,"Written in Red (The Others, #1)",Anne Bishop,4.27,46552,female,,10,39,Roc
121,"Whisper of Light (Light, #2)",Jennifer DeLucy,4.08,263,female,,6,6,Omnific Publishing
122,Foucault's Pendulum,Umberto Eco,3.89,57467,male,Alessandria,10,605,Mariner Books
123,Jaguarundi: The Founders Gifts: Book 2,Drayton Alan,4.25,12,,,10,11,Createspace Independent Publishing Platform
124,The Wheel Spins,Ethel Lina White,3.79,1098,female,"Abergavenny, Wales",10,46,RosettaBooks
125,"The Dragon's Den (The Metaframe War, #3)",Graeme Rodaughan,4.53,32,male,Maffra,5,5,System Zero Productions Pty Ltd
126,The Devil's Prayer,Luke Gracias,3.98,528,male,,1,1,
127,The Midnight Plan of the Repo Man (Ruddy McCann #1),W. Bruce Cameron,4,3273,,,10,59,Forge Books
128,"The Wire (Agent 21, #3.5)",Chris Ryan,3.92,287,male,Newcastle,10,184,RHCP Digital
129,Flux,Mark R. Faulkner,3.6,111,male,,5,5,Mark R Faulkner
130,Kill Thy Neighbor,Mike  Miller,4.5,10,male,Los Angeles,10,22,Createspace Independent Publishing Platform
131,Beautiful Darkness,Fabien Vehlmann,3.87,6720,male,Mont-de-Marsan,10,100,Drawn and Quarterly
132,"A Long Way from Chicago (A Long Way from Chicago, #1)",Richard Peck,3.94,31286,male,"Decatur, IL",10,82,Puffin Books
133,"Dear George, Dear Mary: A Novel of George Washington's First Love",Mary Calvi,3.48,607,,,1,1,St. Martin's Press
134,"Kitty Goes to Washington (Kitty Norville, #2)",Carrie Vaughn,3.87,19384,female,"Sacramento, California",10,209,Grand Central Publishing
135,"Takedown (Scot Harvath, #5)",Brad Thor,4.27,19007,male,,10,52,Atria Simon & Schuster
136,"The Graces (The Graces, #1)",Laure Eve,3.28,6117,female,Paris,4,4,Faber & Faber
137,Ambrosia,David-Matthew Barnes,3.38,32,male,"Torrance, California",10,67,Pinwheel Entertainment Group
138,The Cherubim Rosewood,Larry Shackelford,4.75,4,,,9,9,Smashwords Edition
139,Finding Your Colors: Fine Art Adult Coloring Book,Hertz Nazaire,5,7,,,2,2,Indigo Book
140,State of Panic,Lori  Gordon,4.67,18,female,Chicago,3,3,Pill Hill Press
141,"Dragon Moon (Dragon Keeper, #3)",Carole Wilkinson,4.15,3462,female,"Derby, England",10,46,Disney-Hyperion
142,The Day After Tomorrow,Allan Folsom,4.02,6583,male,Orlando,9,9,Little Brown & Co (T)
143,"Beautiful Disaster (Beautiful, #1)",Jamie McGuire,4.11,518608,female,"Tulsa, Oklahoma",10,54,Jamie McGuire
144,"Half Lies (The Half Bad Trilogy, #0.5)",Sally Green,3.81,2492,,,9,9,Viking Books for Young Readers
145,"Kiss of Frost (Mythos Academy, #2)",Jennifer Estep,4.04,22551,female,,10,71,K-Teen
146,The Snow Whale,John Minichillo,3.69,71,,,8,8,Atticus Books
147,"Renegade Paladins (Zygan Emprise, #1)",Y.S. Pascal,4.61,31,female,,3,3,Createspace
148,"A Drink Before the War (Kenzie & Gennaro, #1)",Dennis Lehane,3.95,34387,,"Dorchester, Boston, Massachusetts",10,90,Mariner Books
149,"Desecrating Solomon (Desecration, #1)",Lucian Bane,4.08,440,male,,10,68,Lucian Bane
150,Snow: A Retelling of Snow White and the Seven Dwarfs,Tracy Lynn,3.81,8873,female,,8,8,Simon Pulse
151,"A Matter of Honor (Knife of Truth, #1)",Ruth Willerth,4.14,22,,,5,5,Smattering Books
152,"Seeds of War (Eden's Root Trilogy, #2)",Rachel Fisher,4.24,84,female,,8,8,Rachel E. Fisher
153,"The Boy Who Sneaks in My Bedroom Window (The Boy Who Sneaks in My Bedroom Window, #1)",Kirsty Moseley,3.92,61964,female,Hertfordshire,10,23,Createspace
154,"Deep In the Woods (Vampire Babylon, #6)",Chris Marie Green,3.71,245,female,,10,47,Ace
155,Autobiography of a Yogi,Paramahansa Yogananda,4.23,42395,male,"Gorakhpur, Uttar Pradesh",10,281,Self-Realization Fellowship Publishers
156,The Christmas Sweater,Glenn Beck,3.8,14668,male,"Mount Vernon, Washington",10,46,Threshold Editions
157,10 Dates,Emily     James,4.17,1494,female,,6,6,
158,Howl The Wolf,Julie Haubert,5,1,female,,2,2,
159,"Me, Myself And I: Seven Science Fiction Stories",L. Jones,3,11,,,9,10,
160,Ten Letters to Obama,Dennis E. Adonis,3.71,14,male,Georgetown,10,15,InteliPress Publishing
161,Find Me,Jon Stock,3.61,3714,male,"Tidworth, Wiltshire",10,11,
162,Property of the Alpha (Supremacy of Wolves #1),Shannon West,3.68,536,female,,10,149,Dark Hollows Press
163,Southern Fried Monster,J. Oliver Glasgow,4.33,6,male,,3,3,Kilterless
164,"The Axe (The Master of Hestviken, #1)",Sigrid Undset,4.21,566,female,Kalundborg,10,95,Vintage
165,Still Life in a Red Dress,Dennis Jung,4.33,9,,,8,8,"Martin Brown Publishers, LLC"
166,"Serafina and the Splintered Heart (Serafina, #3)",Robert  Beatty,4.29,4142,male,,10,15,Disney-Hyperion
167,"Journey Into the Void (Sovereign Stone, #3)",Margaret Weis,3.86,1492,female,"Independence, Missouri",10,350,Harper Voyager
168,"His Majesty's Dragon (Temeraire, #1)",Naomi Novik,4.05,72308,female,New York,10,51,Del Rey
169,Forgiveness,Rain Murphy,4.23,22,female,,7,7,
170,"This Witch for Hire (The Hollows, #1-2)",Kim Harrison,4.49,1475,female,Detroit,10,62,Science Fiction Book Club
171,Escape from Tykonia (Galactic Odyssey #1),Trent Gillespie,3.8,10,male,"Baie Verte, Newfoundland",10,10,Trent Gillespie/Createspace
172,The Lost Books of Wizardry,Marble Green,3,5,,,2,2,CreateSpace Independent Publishing Platform
173,"Graduation Day (The Testing, #3)",Joelle Charbonneau,3.83,24154,female,Chicago,10,34,HMH Books for Young Readers
174,"Starfall (Starflight, #2)",Melissa Landers,3.56,2406,female,,9,9,Disney-Hyperion
175,"Waking Hearts (Cambio Springs, #3)",Elizabeth   Hunter,4.33,1587,female,,10,50,
176,Helpless,Barbara Gowdy,3.37,1108,female,"Windsor, Ontario",10,18,Abacus Software
177,"The Serpent's Shadow (The Kane Chronicles, #3)",Rick Riordan,4.29,112058,male,"San Antonio, Texas",10,186,Hyperion Books
178,The Perfect Pair: The Enchanted Mirror,David C. Holroyd,4.89,9,male,,4,4,
179,Between The Lines: Volumes of Words Unspoken,Céline Zabad,4.34,87,,,1,1,
180,The Strange and Beautiful Sorrows of Ava Lavender,Leslye Walton,4.1,31256,female,,3,3,Candlewick Press
181,"Flambards (Flambards, #1)",K.M. Peyton,4.06,1731,female,,10,75,Oxford University Press
182,The Adventures of Manny Lark: A Sip From The Bloodwell,Joshua Cox-Steib,4.55,11,male,Tulsa,10,23,
183,"Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante Discover the Secrets of the Universe, #1)",Benjamin Alire Sáenz,4.34,218513,,"Old Picacho, Dona Ana County, New Mexico",10,35,Simon & Schuster Books for Young Readers
184,The Last Battle: When U.S. and German Soldiers Joined Forces in the Waning Hours of World War II in Europe,Stephen    Harding,3.79,1475,male,,8,8,Da Capo Press Inc.
185,From Shadows of Darkness to Silhouettes of Hope,Dorothy Henderson Boozer,5,2,female,,1,1,"Strategic Book Publishing & Rights Agency, LLC"
186,Dangerous Girls,Abigail Haas,4.09,18248,female,,3,3,
187,Danny Williams: The War with Ottawa,Bill Rowe,4.04,28,male,"Grand Bank, Newfoundland",10,13,
188,"Lockdown (Escape from Furnace, #1)",Alexander Gordon Smith,4.11,17770,male,Norwich,10,26,"Farrar, Straus and Giroux (Byr)"
189,The Mountain Man's Bride,Gary  Corbin,4,14,male,"Holyoke, MA",8,8,Double Diamond Publishing
190,The Years,Virginia Woolf,3.77,3809,female,"Kensington, Middlesex, England",10,836,Penguin Classics
191,Tangerine,Edward Bloor,3.61,27525,male,"Trenton, New Jersey",10,10,Harcourt
192,The Unincorporated Woman,Dani Kollin,3.89,588,,,10,10,Tor Books
193,A Song for Summer,Eva Ibbotson,3.81,6094,female,Vienna,10,50,Speak
194,"Sonnentochter: Das Lied der Seide (Sun Catcher Trilogy, #1)",Sheila Rance,3.46,116,,,5,5,cbj
195,"Honey Hunt, Vol. 1",Miki Aihara,3.78,2723,female,Shizuoka,10,84,VIZ Media LLC
196,"Witch Blood (Elemental Witches, #2)",Anya Bast,3.9,2841,female,Somewhere in snowy MN,10,62,Berkley Sensation
197,"The Scent of Shadows (Signs of the Zodiac, #1)",Vicki Pettersson,3.51,9783,female,Las Vegas,10,23,Harper Voyager
